"","ID","sample","Age","domain","propImmediate"
"1116",2174,"Replication",71,"Health",0.738095238095238
"1117",2175,"Replication",18,"Health",0
"1118",2176,"Replication",31,"Health",0.928571428571429
"1119",2177,"Replication",45,"Health",0.142857142857143
"1120",2178,"Replication",65,"Health",0.785714285714286
"1121",2179,"Replication",52,"Health",0.880952380952381
"1122",2180,"Replication",49,"Health",1
"1123",2181,"Replication",33,"Health",0.80952380952381
"1124",2182,"Replication",77,"Health",0.5
"1125",2183,"Replication",47,"Health",0.785714285714286
"1126",2184,"Replication",28,"Health",0.0238095238095238
"1127",2185,"Replication",46,"Health",1
"1128",2186,"Replication",81,"Health",0.80952380952381
"1129",2187,"Replication",46,"Health",0.785714285714286
"1130",2188,"Replication",81,"Health",0.761904761904762
"1131",2189,"Replication",69,"Health",1
"1132",2190,"Replication",64,"Health",0.214285714285714
"1133",2191,"Replication",70,"Health",0.619047619047619
"1134",2192,"Replication",46,"Health",1
"1135",2193,"Replication",62,"Health",0.666666666666667
"1136",2194,"Replication",25,"Health",0.0238095238095238
"1137",2195,"Replication",31,"Health",0.595238095238095
"1138",2196,"Replication",44,"Health",1
"1139",2197,"Replication",71,"Health",0
"1140",2198,"Replication",38,"Health",0.952380952380952
"1141",2199,"Replication",37,"Health",0.785714285714286
"1142",2200,"Replication",32,"Health",0.285714285714286
"1143",2201,"Replication",61,"Health",0.952380952380952
"1144",2202,"Replication",53,"Health",1
"1145",2203,"Replication",71,"Health",0.976190476190476
"1146",2204,"Replication",70,"Health",0.976190476190476
"1147",2205,"Replication",60,"Health",0.642857142857143
"1148",2206,"Replication",70,"Health",0.738095238095238
"1149",2207,"Replication",68,"Health",0.476190476190476
"1150",2208,"Replication",85,"Health",1
"1151",2209,"Replication",55,"Health",0.714285714285714
"1152",2210,"Replication",53,"Health",0.0238095238095238
"1153",2211,"Replication",56,"Health",0
"1154",2212,"Replication",53,"Health",1
"1155",2213,"Replication",55,"Health",0.738095238095238
"1156",2214,"Replication",37,"Health",0.666666666666667
"1157",2215,"Replication",80,"Health",0.214285714285714
"1158",2216,"Replication",53,"Health",1
"1159",2217,"Replication",81,"Health",1
"1160",2218,"Replication",74,"Health",0.476190476190476
"1161",2219,"Replication",81,"Health",1
"1162",2220,"Replication",81,"Health",1
"1163",2221,"Replication",72,"Health",0.952380952380952
"1164",2222,"Replication",81,"Health",0.785714285714286
"1165",2223,"Replication",70,"Health",1
"1166",2224,"Replication",81,"Health",0.666666666666667
"1167",2225,"Replication",85,"Health",0.547619047619048
"1168",2226,"Replication",80,"Health",0.976190476190476
"1169",2227,"Replication",82,"Health",0.285714285714286
"1170",2228,"Replication",80,"Health",1
"1171",2229,"Replication",90,"Health",0.571428571428571
"1172",2230,"Replication",82,"Health",0.595238095238095
"1173",2231,"Replication",75,"Health",0.976190476190476
"1174",2232,"Replication",66,"Health",0.785714285714286
"1175",2233,"Replication",62,"Health",1
"1176",2234,"Replication",66,"Health",0.976190476190476
"1177",2235,"Replication",63,"Health",1
"1178",2236,"Replication",63,"Health",1
"1179",2237,"Replication",65,"Health",0.976190476190476
"1180",2238,"Replication",67,"Health",0.976190476190476
"1181",2239,"Replication",63,"Health",0.976190476190476
"1182",2240,"Replication",63,"Health",0.833333333333333
"1183",2241,"Replication",65,"Health",0.523809523809524
"1184",2242,"Replication",68,"Health",0.619047619047619
"1185",2243,"Replication",64,"Health",1
"1186",2001,"Replication",68,"Social",1
"1187",2002,"Replication",72,"Social",1
"1188",2003,"Replication",33,"Social",0.714285714285714
"1189",2004,"Replication",40,"Social",0.880952380952381
"1190",2005,"Replication",75,"Social",1
"1191",2006,"Replication",73,"Social",1
"1192",2007,"Replication",56,"Social",0.476190476190476
"1193",2008,"Replication",40,"Social",1
"1194",2009,"Replication",40,"Social",1
"1195",2010,"Replication",59,"Social",0.976190476190476
"1196",2011,"Replication",38,"Social",0.595238095238095
"1197",2012,"Replication",42,"Social",0.952380952380952
"1198",2013,"Replication",39,"Social",1
"1199",2014,"Replication",35,"Social",0.642857142857143
"1200",2015,"Replication",57,"Social",0.952380952380952
"1201",2016,"Replication",35,"Social",0.571428571428571
"1202",2017,"Replication",40,"Social",0.880952380952381
"1203",2018,"Replication",41,"Social",1
"1204",2019,"Replication",45,"Social",0.952380952380952
"1205",2020,"Replication",45,"Social",0.238095238095238
"1206",2021,"Replication",34,"Social",0.357142857142857
"1207",2022,"Replication",38,"Social",0.952380952380952
"1208",2023,"Replication",70,"Social",0.952380952380952
"1209",2024,"Replication",53,"Social",0.428571428571429
"1210",2025,"Replication",40,"Social",1
"1211",2026,"Replication",80,"Social",1
"1212",2027,"Replication",67,"Social",0.976190476190476
"1213",2028,"Replication",69,"Social",1
"1214",2029,"Replication",68,"Social",0.30952380952381
"1215",2030,"Replication",33,"Social",1
"1216",2031,"Replication",38,"Social",1
"1217",2032,"Replication",19,"Social",0.547619047619048
"1218",2033,"Replication",27,"Social",0.952380952380952
"1219",2034,"Replication",54,"Social",0.904761904761905
"1220",2035,"Replication",32,"Social",0.547619047619048
"1221",2036,"Replication",70,"Social",0.738095238095238
"1222",2037,"Replication",56,"Social",0.976190476190476
"1223",2038,"Replication",24,"Social",1
"1224",2039,"Replication",25,"Social",0.523809523809524
"1225",2040,"Replication",52,"Social",0.928571428571429
"1226",2041,"Replication",21,"Social",0.833333333333333
"1227",2042,"Replication",70,"Social",1
"1228",2043,"Replication",57,"Social",0.476190476190476
"1229",2044,"Replication",58,"Social",1
"1230",2045,"Replication",76,"Social",1
"1231",2046,"Replication",50,"Social",1
"1232",2047,"Replication",78,"Social",1
"1233",2048,"Replication",32,"Social",0.952380952380952
"1234",2049,"Replication",69,"Social",0.785714285714286
"1235",2050,"Replication",44,"Social",0.976190476190476
"1236",2051,"Replication",72,"Social",0.833333333333333
"1237",2052,"Replication",66,"Social",0
"1238",2053,"Replication",18,"Social",0.69047619047619
"1239",2054,"Replication",27,"Social",0.952380952380952
"1240",2055,"Replication",37,"Social",0.976190476190476
"1241",2056,"Replication",44,"Social",0.666666666666667
"1242",2057,"Replication",38,"Social",0.976190476190476
"1243",2058,"Replication",21,"Social",0.0238095238095238
"1244",2059,"Replication",67,"Social",0.857142857142857
"1245",2060,"Replication",76,"Social",1
"1246",2061,"Replication",54,"Social",1
"1247",2062,"Replication",80,"Social",1
"1248",2063,"Replication",76,"Social",1
"1249",2064,"Replication",65,"Social",1
