"","ID","sample","Age","domain","propImmediate"
"4981",107,"Original",75,"Health",0.714285714285714
"4991",107,"Original",75,"Money",0.697674418604651
"5001",107,"Original",75,"Social",0.86046511627907
"5101",109,"Original",54,"Social",1
"5121",109,"Original",54,"Health",0.571428571428571
"5131",109,"Original",54,"Money",0.604651162790698
"5191",111,"Original",61,"Health",0.738095238095238
"5201",111,"Original",61,"Money",0.813953488372093
"5211",111,"Original",61,"Social",0.72093023255814
"5241",115,"Original",59,"Health",0.833333333333333
"5251",115,"Original",59,"Money",0.72093023255814
"5261",115,"Original",59,"Social",0.674418604651163
"5371",116,"Original",62,"Social",0.767441860465116
"5391",116,"Original",62,"Health",0.738095238095238
"5401",116,"Original",62,"Money",0.744186046511628
"5471",119,"Original",59,"Health",0.214285714285714
"5481",119,"Original",59,"Money",0.302325581395349
"5491",119,"Original",59,"Social",0.906976744186046
"5561",120,"Original",57,"Health",0.928571428571429
"5571",120,"Original",57,"Money",0.72093023255814
"5581",120,"Original",57,"Social",0.813953488372093
"5641",123,"Original",57,"Health",0.857142857142857
"5651",123,"Original",57,"Money",0.372093023255814
"5661",123,"Original",57,"Social",0.767441860465116
"5741",126,"Original",65,"Health",0.714285714285714
"5751",126,"Original",65,"Money",0.534883720930233
"5761",126,"Original",65,"Social",0.581395348837209
"5831",128,"Original",32,"Health",0.119047619047619
"5841",128,"Original",32,"Money",0.023255813953488
"5851",128,"Original",32,"Social",0.255813953488372
"5921",129,"Original",32,"Health",0
"5931",129,"Original",32,"Money",0
"5941",129,"Original",32,"Social",0.767441860465116
"6011",131,"Original",52,"Health",0.571428571428571
"6021",131,"Original",52,"Money",0.418604651162791
"6031",131,"Original",52,"Social",0.674418604651163
"6101",134,"Original",71,"Health",0.666666666666667
"6111",134,"Original",71,"Money",0
"6121",134,"Original",71,"Social",1
"6191",136,"Original",70,"Health",0.523809523809524
"6201",136,"Original",70,"Money",0.581395348837209
"6211",136,"Original",70,"Social",0.511627906976744
"6281",138,"Original",25,"Health",0.5
"6291",138,"Original",25,"Money",0.116279069767442
"6301",138,"Original",25,"Social",0.581395348837209
"6371",139,"Original",44,"Health",0.80952380952381
"6381",139,"Original",44,"Money",0.255813953488372
"6391",139,"Original",44,"Social",0.837209302325581
"6461",140,"Original",32,"Health",0.738095238095238
"6471",140,"Original",32,"Money",0.86046511627907
"6481",140,"Original",32,"Social",0.790697674418605
"6551",141,"Original",72,"Health",0.642857142857143
"6561",141,"Original",72,"Money",0.674418604651163
"6571",141,"Original",72,"Social",0.790697674418605
"6641",142,"Original",74,"Health",0.547619047619048
"6651",142,"Original",74,"Money",0.511627906976744
"6661",142,"Original",74,"Social",0.837209302325581
"6731",145,"Original",60,"Health",0.476190476190476
"6741",145,"Original",60,"Money",0.325581395348837
